Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
15.06988/AB,"FOMENTO QUESO MANCHEGO, S.L.L.",Albacete/ALBACETE,RW,,,
15.06990/CR,"ARTESANOS QUESEROS MANCHEGOS, SL.",Ciudad Real/MANZANARES,PP,,,
40.26987/CR,"COMERCIAL ROMELOSA, S.L.",Ciudad Real/PUEBLA DEL PRINCIPE,CS,,,
40.26994/TO,"BALGARDIS, S.L.",Toledo/CUERVA,CS,,,
40.26997/TO,"INDUSTRIAS CARNICAS TELLO, S.A.",Toledo/TOTANES,CS,,,
40.26999/CR,LA MAR DEL CHATO S.L.,Ciudad Real/ARENAS DE SAN JUAN,"CS, RW",,,
10.22692/TO,"GARCÍA MARTÍN, ÁLVARO",Toledo/SONSECA,"CP, MM, MP, PP",,"BL, MP",
40.27156/TO,"COVIRAN, S.C.A.",Toledo/TOLEDO,CS,,,
40.27164/CR,"VAZQUEZ LOZANO, ISABEL",Ciudad Real/SOCUELLAMOS,"CS, RW",,,
40.27166/TO,"EUROCASTILLA LA MANCHA, S.L.",Toledo/OCAÑA,CS,,,
40.27167/TO,"GRUPO DE GESTION REGION CENTRO, S.L.",Toledo/NOBLEJAS,CS,,,
10.22815/TO,"FLORENTIN Y ANDREEA, C.B.",Toledo/PULGAR,"MM, MP, PP",,MP,
14.02746/AB,"PRODUCTOS ALIMENTICIOS ALBACETE, S.A.",Albacete/ALBACETE,CS,,,
26.11449/CR,"DULCINEA NUTRICION, S.L.",Ciudad Real/PUERTOLLANO,PP,,MP,
40.27451/TO,"DISTRIBUCIONES LASPI, S.L.",Toledo/TALAVERA DE LA REINA,CS,,,
40.27456/CR,"HERMANOS DONOSO, SL.",Ciudad Real/ALMAGRO,CS,,,
40.27524/CU,"EL PIÑONERO REGIDOR, S.A.",Cuenca/SAN CLEMENTE,CS,,,
15.07133/CU,"QUESOS SANABRIA, S.L.",Cuenca/VILLAMAYOR DE SANTIAGO,PP,,,
26.11566/CR,"INDUSTRIAS CARNICAS ROYAL CHEF, S.L.",Ciudad Real/PICON,PP,,MP,
40.27682/AB,"DISTRIBUIDORA DE PRODUCTOS AVICOLAS, S.A.",Albacete/HELLIN,CS,,,
15.07178/CU,"PAGO DE LA JARABA, S.L.",Cuenca/PROVENCIO (EL),PP,,,
40.27861/TO,"SANCHEZ ARROYO, MIGUEL ANGEL",Toledo/TALAVERA DE LA REINA,CS,,,
40.27954/CR,"MAQUINAS EXPENDEDORAS DE BEBIDAS VENDIG, S.L.",Ciudad Real/CIUDAD REAL,CS,,,
40.27961/AB,"DISTRIBUCIONES JUAN SANCHEZ POLO, S.L.",Albacete/ALBACETE,CS,,,
40.28049/TO,"ALIMENTOS LA ESPECIA, S.L.",Toledo/TOLEDO,CS,,,
40.28050/TO,"GRUPO EUROPAN TOLEDO, S.L.",Toledo/ORGAZ,CS,,,
40.28051/AB,"CROEXALBA, S.L.",Albacete/ALBACETE,CS,,,
10.23269/TO,"JOSE LUIS TOLEDO, S.L.",Toledo/GERINDOTE,PP,,MP,
10.23270/GU,APERITIVOS FLAPER S.A.,Guadalajara/AZUQUECA DE HENARES,PP,,MP,
14.02787/TO,OVANATUR PRODUCTOS S.L.,Toledo/ILLESCAS,EPC,,,
40.28187/CR,"ALIMENTOS CONGELADOS CARRASCAL, S.A.",Ciudad Real/TOMELLOSO,CS,,,
12.19450/AB,EVELYN KARENN RIVAS ASTUDILLO,Albacete/YESTE,PP,,,
40.28309/AB,"MANUEL SERRANO GARCIA, S.L.U.",Albacete/ALBACETE,CS,,,
40.28310/TO,"ISABEL MORENO, JOSÉ",Toledo/TALAVERA DE LA REINA,CS,,,
10.23400/TO,"SAIZ DEL TELL, ANTONIO",Toledo/OCAÑA,"CP, MM, MP, PP",,MP,
40.28466/TO,"DHL EXEL SUPPLY Y CHAIN (SPAIS), S.L.",Toledo/ONTIGOLA,CS,,,
10.23452/CR,"NICO JAMONES, S.L.",Ciudad Real/CIUDAD REAL,RW,,MP,
10.23454/TO,"ROJO DOMINGUEZ, AZUCENA",Toledo/NAVALUCILLOS (LOS),PP,,MP,
40.28554/GU,"MANUEL BENITEZ LOPEZ, S.L.",Guadalajara/CABANILLAS DEL CAMPO,CS,,,
40.28640/TO,CARNES SALUD 1980 SL.,Toledo/TALAVERA DE LA REINA,CS,,,
40.28642/CR,"SERVICIO DIRECTO DE CONGELADOS Y HELADOS, S.L.",Ciudad Real/BOLAÑOS DE CALATRAVA,CS,,,
10.04739/TO,"DELICIAS IBÉRICAS POR EL MUNDO, S.L.",Toledo/TOLEDO,RW,,MP,
40.28869/CR,GARCIA MORATO GALLEGO JUAN CARLOS,Ciudad Real/ALCAZAR DE SAN JUAN,CS,,,
40.29067/TO,"CÁRNICAS 7 HERMANOS, S.A.",Toledo/VALMOJADO,"CS, RW",,,
12.19804/CR,LUDMILA BUSILA,Ciudad Real/ALCAZAR DE SAN JUAN,PP,,,
40.29077/TO,"PECES DIAZ, FEDERICO",Toledo/TOLEDO,CS,,,
15.07425/CR,"QUESERIA ARTESANAL LA SOLANA, S.L.",Ciudad Real/SOLANA (LA),PP,,,
40.29131/CR,"TECNOVE, S.L.",Ciudad Real/HERENCIA,CS,,,
10.04793/CR,FRIMANCHA INDUSTRIAS CARNICAS S.A.,Ciudad Real/VALDEPEÑAS,"CS, RW, SH, CP, MM, MP, PP",B,"MP, ST",
15.07434/CR,UNIPROCA SDAD. COOP.,Ciudad Real/AGUDO,PP,,,
15.07435/TO,FRANCISCO NOVILLO SANTOS,Toledo/VILLACAÑAS,PP,,,
40.29257/CR,"CARNES Y EMBUTIDOS VILLASEÑOR, S.L.",Ciudad Real/CIUDAD REAL,CS,,,
40.29259/TO,"DISTRIBUCIONES FONTELO, S.A.",Toledo/SANTO DOMINGO-CAUDILLA,CS,,,
10.02473/GU,"LUCIANO GARCIA, S.L.",Guadalajara/SIGUENZA,PP,,ST,
10.23793/TO,"JIN SHI EUROPA, S.L.",Toledo/BARCIENCE,"CS, PP",,ST,
10.23809/CU,"NOVOCARNE, S.L.",Cuenca/CARBONERAS DE GUADAZAON,"MM, MP, PP",,MP,
15.07455/CR,"QUESOS LA CASOTA, S.L.",Ciudad Real/MEMBRILLA,PP,,,
40.29460/TO,"DISTRIBUCIONES CADISCO, S.L.",Toledo/GERINDOTE,CS,,,
40.29462/TO,"SERRANO SERRANO, FRANCISCO JAVIER",Toledo/CUERVA,CS,,,
15.07463/CR,J. GARCIA CARRION LA MANCHA,Ciudad Real/DAIMIEL,RW,,,
40.29503/TO,"TORRES TORRES, JESUS",Toledo/BURUJON,CS,,,
40.29522/CU,"MARIN BALLESTEROS, ALFONSO",Cuenca/VILLARRUBIO,CS,,,
40.29658/AB,"ANIGMA, S.A.",Albacete/ALMANSA,CS,,,
40.29682/AB,"CONGELADOS FAJARDO, S.L.",Albacete/CHINCHILLA DE MONTE-ARAGON,"CS, RW",,,
10.23876/AB,"APERITIVOS LA IBAÑESA, S.L.",Albacete/CASAS-IBAÑEZ,PP,,MP,
12.19966/AB,"ELABORADOS PUERTA DE VALENCIA, S.L.",Albacete/ALMANSA,PP,,,
40.29815/AB,"PARADA SERRANO, FRANCISCO",Albacete/HELLIN,CS,,,
40.29830/CR,"CLAAN EXPORT, S.L.",Ciudad Real/CIUDAD REAL,CS,,,
40.29832/AB,"GONZALEZ SANCHEZ, JUAN ANTONIO",Albacete/ALBACETE,CS,,,
40.29835/CR,"TOSEALJO, S.L.",Ciudad Real/MEMBRILLA,CS,,,
40.29843/TO,"FRÍAS PÉREZ, JOSÉ LUIS",Toledo/TORRIJOS,"CS, RW",,,
40.29847/TO,DISTRIBUIDORA ALIMENTACIÓN AUREA FOODS,Toledo/TORRIJOS,RW,,,
10.23914/CR,"MEDINA ROMERO, OSCAR",Ciudad Real/VALDEPEÑAS,"MM, MP",,,
40.30212/TO,"PEDRO GÓMEZ GALÁN, S.L.",Toledo/SANTO DOMINGO-CAUDILLA,CS,,,
40.30242/TO,S.A.T. NUESTRA SEÑORA. DE LA SOLEDAD,Toledo/ESCALONILLA,RW,,,
40.30243/TO,KARIN BEN KACEN,Toledo/SESEÑA NUEVO,CS,,,
10.23923/CR,CÁRNICAS CARDISA S.L,Ciudad Real/DAIMIEL,,,,
40.30795/TO,"DISTRIBUCIONES FRIGORÍFICAS POLÁN, S.L.",Toledo/POLAN,CS,,,
40.31747/CU,"JIMENEZ FLORES, MIGUEL ANGEL",Cuenca/MESAS (LAS),CS,,,
10.24030/GU,"FRUTOS SECOS OROZCO, S.L.",Guadalajara/MAZUECOS,RW,,MP,
15.07526/CR,"GANADEROS Y QUESOS EL PASTOR, S.L.",Ciudad Real/CALZADA DE CALATRAVA,PP,,,
40.31841/TO,"DISTRIBUCIONES TOLEMAR, S.L.",Toledo/PEPINO,CS,,,
40.31845/TO,"ROARO, S.L.",Toledo/CONSUEGRA,RW,,,
40.31847/AB,"AB SERVICIOS SELECTA ESPAÑA, S.L.U.",Albacete/ALBACETE,CS,,,
40.31849/AB,"QUESOS VEGA SOTUELAMOS, S.L.",Albacete/CHINCHILLA DE MONTE-ARAGON,"CS, RW",,,
40.31970/CR,"JAMONES ARROYO, S.L.",Ciudad Real/ARGAMASILLA DE CALATRAVA,RW,,,
40.32043/AB,"PEDRO GOMEZ OSSORIO E HIJOS, S.L.",Albacete/ALBACETE,CS,,,
10.24060/CU,"CARNICAS J&J HIJOS DE AMPARO RUIZ, S.L.",Cuenca/TALAYUELAS,"CP, MM, MP, PP",,"BL, MP",
40.32228/TO,"SANCHEZ COLADO, ISIDORO",Toledo/TALAVERA DE LA REINA,CS,,,
