Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
12.13836/L,CORPORACION ALIMENTARIA GUISSONA SA,Lleida/GUISSONA,"CS, PP",,,
12.13868/T,MUSCLOS PACO SL,Tarragona/SANT CARLES DE LA RAPITA,"CS, DC, PC",,,
12.13872/B,ELABORADOS DEL BACALAO SL,Barcelona/BARCELONA,"CS, RW",,,
15.04980/GE,MAS LA FOLCRA S.C.,Girona/SANT JOAN DE LES ABADESSES,"RW, PP",,,
26.07783/T,QUICK CHEF SA,Tarragona/REUS,PP,,MP,
26.07800/T,PRECUINATS DEL MAR CAMBRILS SL,Tarragona/VINYOLS I ELS ARCS,PP,,,
40.18705/L,DISTRIBUCIONES VALMOR SA,Lleida/ALCARRAS,CS,,,
40.18713/B,TRANSMONTSERRAT SL,Barcelona/SANT BOI DE LLOBREGAT,CS,,,
40.18726/B,TOCINERIAS VENTURA SA,Barcelona/TERRASSA,CS,,,
40.18728/L,CORPORACION ALIMENTARIA GUISSONA SA,Lleida/GUISSONA,CS,,,
40.18733/B,DISTRIBUIDORA DEL BAGES SA,Barcelona/SALLENT,CS,,,
40.18737/B,COMERCIAL MISSE I FILLS SL,Barcelona/ARENYS DE MUNT,CS,,,
40.18739/L,"EUROALIMENT PROVEEDOR DE ALIMENTOS DE CALIDAD, SLU",Lleida/ROSSELLO,CS,,,
40.18743/B,"VENDRELL CLOPES, RAMON",Barcelona/MALGRAT DE MAR,CS,,,
40.18744/B,DISTRIBUCIONES GREVIMAR 2008 SL,Barcelona/SANT VICENÇ DELS HORTS,CS,,,
40.18749/T,GENERAL MARKETS FOOD IBERICA SAU,Tarragona/TARRAGONA,CS,,,
40.18751/B,COMERCIAL DOSERRES 2002 SL,Barcelona/SANT FELIU DE LLOBREGAT,CS,,,
40.18752/B,FIC5 SHOP SL,Barcelona/TERRASSA,"CS, RW",,,
40.18755/B,PEIXOS 92 SL,Barcelona/CASTELLBELL I EL VILAR,CS,,,
40.18764/L,GRANÉS MEAT QUALITY SL,Lleida/TORREFARRERA,"CS, RW",,,
40.18765/B,MAREA PLATEADA SL,Barcelona/BARCELONA,CS,,,
40.18776/B,STENGER SA,Barcelona/CASTELLBISBAL,CS,,,
40.18782/B,MADISFRED SL,Barcelona/BARBERA DEL VALLES,CS,,,
40.18790/GE,TRANSPORTES BADOSA S.A.,Girona/PRESES (LES),CS,,,
26.07803/B,EL CORTE INGLES SA,Barcelona/MONTORNES DEL VALLES,PP,,MP,
26.07805/B,FERRIASANOVA SL,Barcelona/HOSPITALET DE LLOBREGAT (L'),PP,,MP,
26.07808/B,"MULERO CASTELLS, LOURDES",Barcelona/SANTA COLOMA DE GRAMENET,PP,,MP,
40.18796/T,COMERCIAL ALIMENTARIA DE TARRAGONA SL,Tarragona/VENDRELL (EL),CS,,,
40.18797/T,CONGELATS MARCOS SL,Tarragona/AMPOSTA,CS,,,
40.18798/GE,PROMOLAC ESPAÑA SA,Girona/CORNELLA DEL TERRI,RW,,,
40.18800/GE,ESPECIALITATS COSTA S.L.,Girona/BANYOLES,CS,,,
40.18801/B,LEMOS GUIRADO SL,Barcelona/SANT ESTEVE SESROVIRES,"CS, RW",,,
40.18804/B,LOGIPOINT SL,Barcelona/BARCELONA,CS,,,
40.18805/B,ESPÈCIES TEIXIDOR SL,Barcelona/MANRESA,RW,,,
40.18809/GE,EXCLUSIVES CERDANYA SL,Girona/PUIGCERDA,CS,,,
26.07822/B,SAULEDA PASTISSERS SL,Barcelona/SANT CEBRIA DE VALLALTA,PP,,MP,
10.18010/GE,ANECS DE LA BARROCA SCP,Girona/SANT ANIOL DE FINESTRES,"SH, CP",A,,
40.18833/L,PEDRO GASSO SA,Lleida/TARREGA,"CS, RW",,,
10.18060/B,MAGROTT FRED SL,Barcelona/SANT ANDREU DE LA BARCA,CS,,,
12.14002/B,ECOLOGIA MARINA SL,Barcelona/VILANOVA I LA GELTRU,RW,,,
26.07868/B,RESTAURANT MIRADOR DEL MONTSERRAT SL,Barcelona/SANTPEDOR,PP,,MP,
40.18956/B,DISTRIBUCIONES DEL VALLES SL,Barcelona/SABADELL,CS,,,
40.18960/B,ATANS DISTRIBUCIONES DOÑA SL,Barcelona/SANT ESTEVE SESROVIRES,CS,,,
10.18145/B,CAN SALVI SCP,Barcelona/SANTA EUGENIA DE BERGA,CS,,,
10.18147/B,NOAD 2000 SL,Barcelona/ROCA DEL VALLES (LA),CS,,,
