Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
15.008595/VA,"DOMINIO DE PINGUS, S.L.",Valladolid/VALBUENA DE DUERO,PP,,,
10.027399/SA,"SALCAT 2000, S.L.",Salamanca/GUIJUELO,,,,
12.023842/BU,"HELIX DEMANDACOL, S.L.",Burgos/SALAS DE LOS INFANTES,PP,,SN,
10.027420/SG,"COMERCIAL PECUARIA SEGOVIANA, S.L.",Segovia/VILLACASTIN,CS,,,
10.027421/SG,"LONYPACK GLOBAL, S.A.",Segovia/VILLACASTIN,PP,,MP,
10.027425/BU,"COOPER IBERICA, S.COOP.",Burgos/BURGOS,CP,,,
26.020071/SA,"LA EMPANADERIA ESPAÑOLA, S.L.",Salamanca/CARBAJOSA DE LA SAGRADA,PP,,MP,
40.072168/AV,GRUPO HOSTELERIA TENZO S.L.,Ávila/AVILA,CS,,,
15.008605/LE,COLEMASA S. COOP.,León/MANSILLA DE LAS MULAS,PP,,,
40.072204/BU,OLANO LOGISTICA DEL MAR S.L.,Burgos/MIRANDA DE EBRO,CS,,,
40.072326/VA,MARTIN & GEIJO S.L.,Valladolid/VALLADOLID,CS,,,
