Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
40.16243/S,COMPESCA S.A.,Cantabria/PEÑACASTILLO,"CS, RW",,,
40.16269/S,CONGELADOS EGEA S.L.,Cantabria/REOCIN,CS,,,
12.11870/S,MARISQUERA SAN ANTONIO S.C.L.,Cantabria/MURIEDAS,"DC, FFP",,,
10.16149/S,PEDRO GUTIERREZ GALGUERA,Cantabria/CABEZON DE LA SAL,"MM, MP, PP",,"BL, MP, ST",
40.16489/S,LUIS MIGUEL SANCHEZ CALVO,Cantabria/HERAS,"CS, RW",,,
10.16244/S,JAIRO GONZÁLEZ CEBRIÁN,Cantabria/ASTILLERO (EL),RW,,MP,
40.16507/S,EMBUTIDOS MELI S.L.,Cantabria/GOLBARDO,CS,,,
10.16317/S,LUIS GUTIERREZ MANTECON,Cantabria/CAMARGO,"CS, MM, MP",,,
40.16635/S,DISTRIBUCIONES JAMCAN S.L.,Cantabria/MURIEDAS,CS,,,
40.16642/S,SOCORRAL S.L.,Cantabria/SANTANDER,CS,,,
12.12364/S,PESCADOS BARANDICA S.A.,Cantabria/PEÑACASTILLO,CS,,,
40.16944/S,GARVASA LOGISTICA SL,Cantabria/ARENAL,CS,,,
40.16949/S,LA VILLARCAYESA S.A.,Cantabria/MALIAÑO,CS,,,
40.17067/S,CUELI ARCE S.L.,Cantabria/BARROS,CS,,,
12.12498/S,GUSTAVO LIQUETE SANTOS,Cantabria/GUARNIZO,"RW, PP",,,
15.04604/S,GANADERIA LA SIERRA S.C.,Cantabria/TEZANOS,PP,,,
12.12586/S,PESCADOS GELMAR S.L.,Cantabria/VAL DE SAN VICENTE,"DC, FFP",,,
10.17197/S,EMBUTIDOS JAVI S.L.,Cantabria/CILLORIGO DE LIEBANA,"MM, MP, PP",,MP,
12.13043/S,JUAN CARLOS VALLE GOMEZ,Cantabria/SANTA CRUZ DE BEZANA,CS,,,
40.17748/S,TDF CANTABRIA S.L.,Cantabria/PEÑACASTILLO,CS,,,
12.13182/S,FRANCISCO VALLE FERNANDEZ,Cantabria/PEÑACASTILLO,CS,,,
10.17392/S,FOOD 2000 SL,Cantabria/PEÑACASTILLO,"CP, MM, MP, PP",,MP,
12.13400/S,COMPESCA S.A.,Cantabria/PEÑACASTILLO,"CS, RW, PP",,,
10.17570/S,AGROCANTABRIA SOCIEDAD COOPERATIVA,Cantabria/ASTILLERO (EL),"CS, CP, MM, MP",,,
15.04869/S,VALLEJO HERNANDEZ S.L.,Cantabria/REVILLA,PP,,,
40.18272/S,COEXPA S.L.,Cantabria/TORRELAVEGA,CS,,,
40.18273/S,KAIKU KM0 SL,Cantabria/RENEDO,CS,,,
10.17706/S,REPRESENTACIONES IREMAR S.L.,Cantabria/VAL DE SAN VICENTE,"RW, CP",,MP,
40.18373/S,REPRESENTACIONES IREMAR S.L.,Cantabria/VAL DE SAN VICENTE,"CS, RW",,,
40.18590/S,DULCES Y ALIMENTACION SERAFINA S.L.,Cantabria/MALIAÑO,CS,,,
15.04948/S,ROBERTO LOPEZ LOPEZ,Cantabria/CAMALEÑO,PP,,,
40.18696/S,NORTEVA SL,Cantabria/REQUEJADA,CS,,,
40.18929/S,CONSERVAS Y SALAZONES ARLEQUIN S.L.,Cantabria/REVILLA,"CS, RW",,,
40.18967/S,EXCLUSIVAS LA DARSENA S.L.,Cantabria/GUARNIZO,CS,,,
40.18976/S,DAMASO VICENTE FUERTES,Cantabria/PONTEJOS,"CS, RW",,,
12.14023/S,CONSERVAS Y SALAZONES LINDA PLAYA S.L.,Cantabria/COLINDRES,PP,,,
40.19170/S,ANTONIO LOPEZ CASTAÑEDA,Cantabria/PARBAYON,CS,,,
40.19449/S,JOSE MANUEL CASTILLO PORTILLA,Cantabria/MOLLEDO,CS,,,
10.18486/S,CÁRNICAS MERINO LA REINOSANA S.C.,Cantabria/REINOSA,"MM, MP, PP",,"BL, MP",
12.14487/S,FRIGORIFICOS PEREZ BARANDICA S.L.,Cantabria/PEÑACASTILLO,"CS, PP, FFP",,,
40.19706/S,REPRESENTACIONES SAN MAMES S.L.,Cantabria/SANTANDER,CS,,,
40.19707/S,EMBUTIDOS JAVI S.L.,Cantabria/CILLORIGO DE LIEBANA,CS,,,
12.14550/S,AUTORIDAD PORTUARIA DE SANTANDER,Cantabria/SANTANDER,AH,,,
40.19848/S,PATIOCAN CANTABRIA S.L.,Cantabria/MALIAÑO,CS,,,
10.18753/S,SERVICIOS CÁRNICOS CHIQUI S.L.,Cantabria/PEÑACASTILLO,CP,,,
40.19993/S,LUIS ESCUDERO FRANCISCO,Cantabria/SANTA CRUZ DE BEZANA,"CS, RW",,,
40.20075/S,ARGUMOSA S.L.,Cantabria/HINOJEDO,CS,,,
12.14842/S,PACHECO TRUEBA Y PLA S.L.,Cantabria/SANTOÑA,PP,,,
15.05362/S,QUESERIA LAFUENTE SAU,Cantabria/HERAS,PP,,,
40.20330/S,MARTINEZ DE QUEL S.L.,Cantabria/SAMANO,CS,,,
12.14864/S,CANTABRIA VERDE CONSERVAS Y LACTEOS S.L.,Cantabria/RENEDO,PP,,SN,
12.14865/S,PESCADOS ANCO S.L.,Cantabria/SAN VICENTE DE LA BARQUERA,"CS, RW, PP, DC, FFP",,,
40.20378/S,ALFONSO RUIZ FERNANDEZ,Cantabria/IGOLLO,CS,,,
15.05388/S,FERCAR LACTEA S.L.,Cantabria/ONGAYO,PP,,,
10.19101/S,PATINO SC,Cantabria/CAVADA (LA),"CS, CP, MM, MP",,,
15.05424/S,MARTA APARICIO ALEGRIA,Cantabria/CACICEDO,CS,,,
12.15057/S,LITA CB,Cantabria/SANTOÑA,PP,,,
15.05446/S,LABORATORIOS ARROYO S.A.,Cantabria/SANTANDER,RW,,,
12.15153/S,ANCHOAS Y PRODUCTOS DEL CANTABRICO S.L.,Cantabria/REINOSA,PP,,,
40.20826/S,JESUS GOMEZ RUIZ S.L.,Cantabria/HERAS,CS,,,
12.15209/S,CONSERVAS JOTA SL,Cantabria/SANTOÑA,"RW, PP",,,
40.20957/S,EXCLUSIVAS PEREZ LIAÑO S.L.,Cantabria/SANTANDER,CS,,,
12.15279/S,SALAZONES Y CONSERVAS BLASAN S.L.,Cantabria/SANTOÑA,"RW, PP",,,
40.20989/S,ISIDORO ALVAREZ FERNANDEZ,Cantabria/PRELLEZO,"CS, RW",,,
10.19364/S,FRANCISCO COBO FERNANDEZ,Cantabria/SELAYA,"CP, MM, MP",,,
12.15287/S,"PESCAPROA, PESCADOS Y MARISCOS S.L.",Cantabria/PESUES,"CS, RW, DC, FFP",,,
40.21005/S,PONTANA EXCLUSIVAS DE ALIMENTACION S.L.,Cantabria/GAJANO,CS,,,
40.21007/S,DISTRIBUCIONES DE EMBUTIDOS Y QUESOS SANTI S.L.,Cantabria/SOLARES,CS,,,
12.15331/S,CONSERVAS GONZALEZ BARREDO S.L.,Cantabria/ARGOÑOS,PP,,,
12.15366/S,ANA MARIA TRUEBA BEDIA,Cantabria/PEDREÑA,"DC, PC",,,
12.15444/S,PESCADOS NEUMANN S.L.,Cantabria/AJO,"DC, PC",,,
40.21285/S,MAURO JESUS CARRANCIO FERNANDEZ,Cantabria/PARBAYON,"CS, RW",,,
15.05633/S,HERMANOS ORTIZ SETIEN S.L.,Cantabria/COMILLAS,PP,,,
40.21479/S,CASA JULIAN CANO SL,Cantabria/REOCIN,CS,,,
40.21506/S,COMERCIAL RUAD S.L.,Cantabria/PARBAYON,CS,,,
12.15623/S,UNION & COMPATIBILIDAD SL,Cantabria/SANTOÑA,PP,,,
40.21714/S,MANUEL SAIZ RIVERO,Cantabria/HINOJEDO,CS,,,
40.21727/S,MIMENDEZ SELECTION SL,Cantabria/MALIAÑO,CS,,,
12.15748/S,HERMANOS PERAMATO 2013 SL,Cantabria/SANTOÑA,RW,,,
40.21958/S,COPAGA CANTABRIA S.A.,Cantabria/PEÑACASTILLO,CS,,,
12.15866/S,MARIA CARMEN SETIEN ACEBO,Cantabria/ARGOÑOS,"DC, PC",,,
12.15868/S,CONSERVAS SELECCION SANTOÑESA SL,Cantabria/SANTOÑA,"CS, PP",,,
15.05766/S,DELICATESSEN LA ERMITA S.L.,Cantabria/CASAR,PP,,,
12.16023/S,PESCADOS ENCHI Y ROSI S.L.,Cantabria/SANTANDER,CS,,,
40.22267/S,RICARDO DE LA VIÑA PEREZ,Cantabria/SANTANDER,CS,,,
12.16131/S,FROXA S.A.,Cantabria/PEÑACASTILLO,CS,,,
40.22607/S,JOSE MIGUEL TOCA HERRERA,Cantabria/SANCIBRIAN,CS,,,
10.20271/S,BONSABOR NORTE SL,Cantabria/TORRELAVEGA,"MM, MP, PP",,MP,
