Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
40.06099/HU,ALFREDO SOLANO RIVERA Y OTRO C.B.,Huesca/BARBASTRO,CS,,,
40.06172/Z,DISTRIBUCIONES Y REPRESENTACIONES USIETO,Zaragoza/ZARAGOZA,CS,,,
40.06349/Z,"DISTRIBUCIONES RODRIGO, S.A.",Zaragoza/ZARAGOZA,"CS, RW",,,
40.06481/HU,LA CORUÑESA S.A.,Huesca/HUESCA,"CS, RW",,,
40.06490/Z,"ARAGONESA DE PIENSOS, S.A.",Zaragoza/UTEBO,CS,,,
40.06509/Z,CONPOL S.L.,Zaragoza/ZUERA,CS,,,
40.06566/Z,"ASO BENITO, SL",Zaragoza/ZARAGOZA,CS,,,
40.06833/Z,SUCESORES AGUSTIN PLA S.L.,Zaragoza/MARIA DE HUERVA,CS,,,
40.06927/Z,"PESCADOS MAÑERO, S.L.",Zaragoza/TARAZONA,"CS, RW",,,
40.06943/Z,"GUSSTO GASTROCLUB, S.L.",Zaragoza/ZARAGOZA,CS,,,
40.06964/Z,MAKRO AUTOSERVICIO MAYORISTA S.A.,Zaragoza/ZARAGOZA,"CS, RW",,,
40.07121/Z,"COMERCIAL GARIJO, S.L.",Zaragoza/ZARAGOZA,"CS, RW",,,
40.07209/Z,SUCESORES DE FELIPE ARANDA S.L.,Zaragoza/CALATAYUD,CS,,,
40.07292/Z,FRIGORIFICOS BILBILITANOS S.L,Zaragoza/CALATAYUD,"CS, RW",,,
40.07387/Z,EXCLUSIVAS SAMPER S.L.,Zaragoza/EJEA DE LOS CABALLEROS,CS,,,
40.07465/Z,"CORTES LACTEO INDUSTRIAL, S.L.",Zaragoza/UTEBO,CS,,,
40.07519/Z,ALIMENTARIA HERMANOS OLIVAS S.L.,Zaragoza/CALATAYUD,CS,,,
40.07794/TE,"ENCABO BAJO ARAGON, S.A.",Teruel/ALCAÑIZ,CS,,,
40.07892/Z,"CASERFRI, S.L.",Zaragoza/ZARAGOZA,CS,,,
40.08059/Z,"EMBUTIDOS LASECA, S.L.",Zaragoza/TARAZONA,CS,,,
40.08076/Z,"IGAL MIÑES, ANGEL",Zaragoza/NOVILLAS,CS,,,
40.08255/HU,"CONGELADOS CONBI, S.L.",Huesca/BINEFAR,CS,,,
40.08395/Z,"FREEZEMAR DISTRIBUCIONES, SLL",Zaragoza/ZARAGOZA,CS,,,
40.08410/HU,CONYPREL S.A.L.,Huesca/JACA,CS,,,
40.08477/Z,"MONTORI Y BARRANCO, S.L.",Zaragoza/ZARAGOZA,"CS, RW",,,
40.08613/Z,"TRANSPORTES J. CARBO, S.L.",Zaragoza/PUEBLA DE ALFINDEN (LA),CS,,,
40.08721/Z,"EXCLUSIVAS JESAN, S.L.",Zaragoza/CALATAYUD,CS,,,
40.08869/Z,COALIMENT ARAGON S.A.U.,Zaragoza/ZARAGOZA,CS,,,
40.08990/HU,CABRERO E HIJOS S.A,Huesca/BARBASTRO,CS,,,
40.08991/Z,D.S.ALIMENTACION S.L,Zaragoza/ZARAGOZA,CS,,,
40.08992/HU,"DISTRIBUCIONES J. BLASCO, S.L",Huesca/HUESCA,CS,,,
40.08995/Z,ARAGON ALIMENTOS S.L,Zaragoza/ZARAGOZA,CS,,,
40.09106/HU,"CONGELADOS DEL PIRINEO, S.L.",Huesca/BARBASTRO,CS,,,
40.09107/HU,"DISTRIBUCIONES CORREAS, S.L",Huesca/HUESCA,CS,,,
40.09180/Z,"COMERCIAL RUCRES, S.L",Zaragoza/PUEBLA DE ALFINDEN (LA),CS,,,
40.09297/Z,"PRODUCTOS SELECTOS CAPABLO, SL",Zaragoza/CARTUJA BAJA,"CS, RW",,,
