"Nº RGSEAA (*)","Razón Social","Provincia/Localidad","Actividades","Especies (**)","Otros Detalles","TSE Feed Ban"
"12.06699/B","BARCINO CONSIGNACIONS SL","Barcelona/BARCELONA","WM, FFP",,,
"12.06712/NA","ALESAN ARTESANOS, S.L.","Navarra/ABLITAS","RW, PP",,,
"12.06714/PM","CONFRARIA DE PESCADORS SANT ANTONI ABAD","Palma de Mallorca/SANT ANTONI DE PORTMANY","WM",,,
"12.06717/H","GROMAR S.L.","Huelva/ISLA CRISTINA","CS, RW, PP, DC, PC",,,
"12.06718/SE","CASCARAS DEL SUR S.L","Sevilla/PILAS","CS, DC",,,
"12.06723/T","CULTIUS MARINS DEL DELTA DE L'EBRE SA","Tarragona/DELTEBRE","CS, DC, PC",,,
"12.06724/L","PESCALLEIDA SL","Lleida/LLEIDA","CS, PP",,,
"12.06732/O","BACALAOS EL BARQUERO SA","Asturias/CORUÑO","CS, PP",,,
"12.06743/B","PATES I FUMATS AIMAR SL","Barcelona/MANLLEU","CS, PP",,,
"12.06749/B","CONGELADOS ALTAMAR SA","Barcelona/BARCELONA","WM, FFP",,,
"12.06752/SS","BACALAOS SANTYMAR, S.L.","Gipuzkoa/IRUN","RW, PP",,,
"12.06757/H","BOTELLO CAMACHO JOAQUIN","Huelva/ISLA CRISTINA","CS, PP, FFP",,,
"12.06782/CA","RUIZ FERNANDEZ, AGUSTIN","Cádiz/CADIZ","RW, PP, FFP",,,
"12.06783/AL","ASO PROV DE EMPRESARIOS DE PESCA SECTOR EXTRACTIVO DE ALMERIA","Almería/ALMERIA","CS, FFP, AH",,,
"12.06784/AL","COFRADIA DE PESCADORES DE GARRUCHA","Almería/GARRUCHA","RW, AH",,,
"12.06816/CA","PETACA CHICO S.L.","Cádiz/CONIL DE LA FRONTERA","RW, FFP",,,
"12.06817/CA","ANDAFISH S.L.","Cádiz/ARCOS DE LA FRONTERA","CS, RW, FFP",,,
"12.06819/MU","FRIGORIFICOS MORALES, S.A.","Murcia/CARTAGENA","CS, RW, FFP",,,
"12.06822/M","FRIGORIFICOS VALDEMORO S.A.","Madrid/VALDEMORO","CS",,,
"12.06828/A","FRIGORIFICOS AMARO GONZALEZ CORTES, S.A.","Alicante/Alacant/ALICANTE/ALACANT","CS, RW, PP",,,
"12.06832/H","DISTRIBUIDORA MARISCOS RODRIGUEZ, S.A.","Huelva/PALOS DE LA FRONTERA","RW, PP, AH",,,
"12.06842/PO","ELABORADOS SANTAMAR, S. L.","Pontevedra/PONTEVEDRA","CS, PP",,,
"12.06849/AL","MERCADO HERMANOS CLEMENTE PEREZ S.L.","Almería/ALMERIA","CS, WM",,,
"12.06857/H","ROPERISLA S.L.","Huelva/ISLA CRISTINA","CS, RW, DC",,,
"12.06860/C","RAFAEL HERRAEZ FERNANDEZ Y OTRA, S.L.","Coruña, A/CORUÑA (A)","RW, FFP",,,
"12.06903/SE","FREIREMAR S.A.","Sevilla/SEVILLA","RW, PP",,,
"12.06906/H","ACUINOVA S.L.","Huelva/AYAMONTE","RW",,,
"12.06910/C","PESCADOS FRANCISCO LOPEZ, S.L.","Coruña, A/CORUÑA (A)","RW, FFP",,,
"12.06911/C","SALAZONES CAMPOS, S.L.","Coruña, A/CORUÑA (A)","RW",,,
"12.06914/C","MARIA AURORA GONZALEZ MOREIRAS","Coruña, A/CORUÑA (A)","RW",,,
"12.06916/C","ARRANZ DE LA CAL, S.L.","Coruña, A/CORUÑA (A)","RW, FFP",,,
"12.06917/C","VAZQUEZ FERNANDEZ LUIS FERNANDO","Coruña, A/CORUÑA (A)","RW, FFP",,,
"12.06918/C","PESCADOS ALBERTO SOUTO ARAUJO, S. L","Coruña, A/CORUÑA (A)","RW, FFP",,,
"12.06924/M","CASPIAN PEARL INTERNATIONAL S.A.","Madrid/ALCOBENDAS","RW",,,
"12.06944/TO","TOMAS MOLINA, S.L.","Toledo/QUINTANAR DE LA ORDEN","CS, PP",,,
"12.06967/BI","PESCADOS HNOS. SAINZ, S.L.","Bizkaia/BASAURI","CS",,,
"12.07025/V","PRODUCTOS CONGELADOS SELECTOS 3000, S.L.","Valencia/València/PICASSENT","CS, PP, FFP",,,
"12.07045/H","NAVALGARVE S.L.","Huelva/AYAMONTE","CS, RW, DC, PC",,,
"12.07056/PM","PEIXOS EMILIO, S.L.","Palma de Mallorca/MAO","CS, PP, FFP",,,
"12.07062/LE","VICENTE MANUEL CASTAÑON TASCON","León/TROBAJO DEL CAMINO","RW",,,
"12.07072/C","ISOLINO VAZQUEZ Y OTRA, S.C.","Coruña, A/CORUÑA (A)","RW, FFP",,,
"12.07087/B","CONGELADOS Y ESPECIALIDADES BARRUFET SL","Barcelona/BARCELONA","CS, PP, FFP",,,
"12.07092/B","MIGUEL MEDICIS SA","Barcelona/BARCELONA","WM",,,
"12.07093/B","GARCIMAR SL","Barcelona/BARCELONA","WM, FFP",,,
"12.07094/B","CES CONSIGNACIONES SA","Barcelona/BARCELONA","WM, FFP",,,
"12.07109/CO","ALBACOR INDUSTRIA DEL MAR S.L.","Córdoba/CASTRO DEL RIO","CS, RW, PP",,,
"12.07110/PO","MARES DE GALICIA SA","Pontevedra/MARIN","CS, PP, DC, FFP",,,
"12.07126/MU","PESCAVIAR S.L.","Murcia/ALCANTARILLA","CS",,,
"12.07129/M","HAVI LOGISTICS FSL, S.L.","Madrid/DAGANZO DE ARRIBA","CS",,,
"12.07137/M","PINIPESCA, S.L.","Madrid/MADRID","CS",,,
"12.07145/C","CENTROS COMERCIALES CARREFOUR, S.A.","Coruña, A/CORUÑA (A)","RW, FFP",,,
"12.07151/C","COTON Y SANCHEZ, S.L.","Coruña, A/CORUÑA (A)","RW, FFP",,,
"12.07156/H","MARISCOS MANUEL CRUZ S.L.","Huelva/ISLA CRISTINA","RW, DC, PC",,,
"12.07184/B","MARESMAR SL","Barcelona/BARCELONA","CS, PP, DC, PC, FFP",,,
"12.07185/VI","BACALAOS GAYTAN, S.L.","Araba/Álava/LANTARON","CS, PP",,,
"12.07187/C","FRAIDATRANS, S.L.","Coruña, A/CORUÑA (A)","RW",,,
"12.07194/C","EL CORTE INGLES, S.A.","Coruña, A/CORUÑA (A)","RW, FFP",,,
"12.07200/CA","PETACA CHICO S.L.","Cádiz/CONIL DE LA FRONTERA","CS, PP, FFP",,,
"12.07202/NA","PESCAIRUÑA S.L.","Navarra/ORKOIEN","RW, FFP",,,
"12.07213/SS","PESCADOS Y MARISCOS RODOLFO, S.A.","Gipuzkoa/PASAIA","CS, RW, FFP",,,
"12.07214/LU","GRUPOS PESCADOS Y MARISCOS PEPA, S.L","Lugo/BURELA","RW",,,
"12.07237/MU","HELIFRUSA, S.A.","Murcia/TORRECILLA","CS, PP",,"SN",
"12.07304/LE","M. COLINAS PESCADOS, S.L.","León/LEON","CS",,,
"12.07418/MA","CONGELADOS Y REFRIGERADOS GARCIA S.L.","Málaga/ANTEQUERA","RW",,,
"12.07432/BI","LAUTXO, S.L.","Bizkaia/BILBAO","CS, PP",,,
"12.07434/C","VILLAMARTIN COTO PURIFICACION","Coruña, A/CORUÑA (A)","RW",,,
"12.07437/B","MARISCOS LAUMAR SL","Barcelona/BARCELONA","RW, DC, PC, FFP",,,
"12.07477/S","JMC REIMEX SL","Cantabria/SANTOÑA","CS, RW, PP",,,
"12.07500/GE","FILL DE J. CALLOL I SERRATS SL","Girona/ESCALA (L')","CS, PP",,,
"12.07530/A","SERRALLE CORCOLES, JOSE ANTONIO","Alicante/Alacant/TORREVIEJA","CS",,,
"12.07534/CR","PESCADOS LADERAS E HIJOS S.L.","Ciudad Real/VALDEPEÑAS","CS",,,
"12.07535/CR","PESCADOS MORENO S.L.","Ciudad Real/ALCAZAR DE SAN JUAN","CS, RW",,,
"12.07536/Z","SCANFISK SEAFOOD, S.L","Zaragoza/ZARAGOZA","RW, PP, FFP",,,
"12.07538/M","CAVIRAN, S.A.","Madrid/ALCOBENDAS","RW",,,
"12.07552/GC","BELOWPESCA, S.L.","Palmas, Las/TELDE","RW, PP",,,
"12.07557/CA","FERNANDEZ CLAVERO, INMACULADA","Cádiz/LINEA DE LA CONCEPCION (LA)","CS, DC",,,
"12.07580/H","2004 M.C. SEAFOOD S.L.","Huelva/HUELVA","RW, PP, FFP",,,
"12.07582/V","B. AND F. OCEANIC, S.L.","Valencia/València/VALENCIA","RW",,,
"12.07598/SS","ANSO UNAI, S.L.","Gipuzkoa/IRUN","RW, PP, FFP",,,
"12.07606/C","PORTOSIN FISS, S.A.","Coruña, A/PORTO DO SON","CS, PP, FFP",,,
"12.07607/C","ACTEMSA, S.A.","Coruña, A/POBRA DO CARAMIÑAL (A)","CS, PP",,,
"12.07608/SA","MANUEL BUENO JIMENEZ","Salamanca/MACOTERA","RW, PP",,,
"12.07612/GC","Congelados Herbania, S.A.","Palmas, Las/AGÜIMES","RW, PP",,,
"12.07616/NA","PESCADOS GJA PAMPLONA S.L.","Navarra/PAMPLONA/IRUÑA","RW, WM",,,
"12.07617/C","Mª DEL PILAR GOMEZ PAMPIN","Coruña, A/OZA-CESURAS","CS, PP",,,
"12.07646/LO","HILARIO PEREZ DE ALBENIZ S.A.","Rioja, La/LOGROÑO","CS",,,
"12.07648/C","FRIGORIFICOS DE CAMARIÑAS, S.L.","Coruña, A/CAMARIÑAS","CS, PP, FFP",,,
"12.07655/NA","CONSERVAS VITORI, S.L.","Navarra/ARCOS (LOS)","RW, PP",,,
"12.07707/B","ALIMENTOS FRIORIZADOS SA","Barcelona/BARBERA DEL VALLES","CS, PP, FFP",,,
"12.07733/GR","PESCADOS MONTALBAN S.L.","Granada/GRANADA","RW",,,
"12.07735/CA","MARISCOS ANGEL GONZALEZ ALMEIDA S.L.","Cádiz/CADIZ","CS, RW, PP, FFP",,,
"12.07756/NA","PESCADOS CARIDAD S.L.","Navarra/PAMPLONA/IRUÑA","WM",,,
"12.07759/C","FROITOMAR, S.L.","Coruña, A/ARTEIXO","CS, RW, PP, FFP",,,
"12.07766/B","OSONA DE ALIMENTACION SA","Barcelona/TARADELL","CS, PP",,,
"12.07781/O","CETAREA ANTROMERO SL","Asturias/ANTROMERO","RW",,,
"12.07827/NA","PESCADOS VALDIZARBE, S.L.","Navarra/PAMPLONA/IRUÑA","WM",,,
"12.07834/H","PESCADOS Y MARISCOS MAKROSUR S.L.","Huelva/ISLA CRISTINA","CS, PP, FFP",,,
"12.07844/CS","JOSE ANTONIO SIMO, S.L.","Castellón/Castelló/BENICARLO","CS, RW, PP, DC, FFP",,,
"12.07869/GR","FRIGORIFICOS FRIPELSA S.L.","Granada/CHURRIANA DE LA VEGA","CS, PP",,,
"12.07872/SE","ANDUCARACOL S.L.","Sevilla/ECIJA","CS",,,
"12.07875/AL","CAMARAS FRIGORIFICAS DEL PUERTO DE ALMERIA S.L.","Almería/ALMERIA","CS",,,
"12.07895/O","FRESGEA SL","Asturias/BARRES","CS, RW, PP",,,
"12.07907/SS","PESCADOS TXANKA, S.L.","Gipuzkoa/ORIO","CS, RW, PP",,,
"12.07908/VI","BACALAO GIRALDO, S.L.","Araba/Álava/LEGUTIO","CS, PP",,,
"12.07967/GR","JUAN RUIZ MORENO S.L.","Granada/GRANADA","RW",,,
"12.07977/B","OTABARNA SA","Barcelona/BARCELONA","CS, RW, PP, FFP",,,
"12.07998/J","MORENO PAEZ, ANTONIO","Jaén/SANTIAGO DE LA ESPADA","RW",,,
"12.08019/PO","FRIGORIFICOS IBERPORT, S.L.","Pontevedra/VIGO","CS, PP, FFP",,,
"12.08024/SE","FRIGORIFICOS PEDRERA S.L.","Sevilla/PEDRERA","RW, PP, FFP",,,
"12.08055/J","PESCADOS MONTALBAN S.L.","Jaén/JAEN","CS",,,
"12.08059/T","MANIPULACIÓ DEL PEIX DOMENECH SL","Tarragona/CONSTANTI","CS, PP, FFP",,,
"12.08080/C","CONGALSA, S.L.","Coruña, A/RIBEIRA","CS, PP",,,
"12.08084/B","CARLOS PIERNAS DEL AMOR SL","Barcelona/SANTA PERPETUA DE MOGODA","CS, PP",,,
"12.08092/T","PEIXOS I MARISC RAUL SL","Tarragona/ALCANAR","CS",,,
"12.08095/C","FRIGORIFICOS SOCIMAR, S.A.","Coruña, A/RIBEIRA","CS",,,
"12.08111/PO","SERAFIN SANTORUM, S.L.","Pontevedra/MEAÑO","CS, PP",,,
"12.08131/GR","FRIGORIFICOS MONTALBAN RODRIGUEZ C.B.","Granada/GRANADA","CS, PP, FFP",,,
"12.08142/GR","DISTRIBUCIONES ALIMENTARIAS HERMANOS CIFUENTES S.L.","Granada/PADUL","RW, PP",,,
"12.08157/AB","CONGELADOS ALBAFRIO, S.L.","Albacete/ALBACETE","CS",,,
"12.08182/C","STOLT SEA FARM, S.A.","Coruña, A/CARNOTA","RW, FFP",,,
"12.08198/OR","PESCADOS A CIGURRIA, S.L.","Ourense/RUA (A)","CS, FFP",,,
"12.08208/C","BACALAOS Y SALAZONES TOJA DIAZ, S.L.","Coruña, A/CARRAL","CS, PP",,,
"12.08216/SS","AUTORIDAD PORTUARIA DE PASAJES","Gipuzkoa/PASAIA","WM, AH",,,
"12.08229/GR","HERMANOS CARRORRA E HIJOS S.L.","Granada/GRANADA","RW, PP, FFP",,,
